size_bits,size_bytes,rsa_median_ms,aes_median_ms
1,1,0.0259000007645227,0.3782999992836267
100,13,4.5752999976684805,0.4391000002215151
1000,125,4.64540000029956,3.2328999986930285
1023,128,4.625199999281904,3.3270000021730084
1101,138,13.839299997925991,3.5652000005939044
10001,1251,90.12359999906039,30.141299997922033
100001,12501,655.4915000015171,301.3670000000275
250001,31251,1760.2022999999463,747.0296999999846
500001,62501,3271.1112999968464,1355.9368999995058
750001,93751,6700.308700001187,2340.6696999991254
1000001,125001,8709.188699998776,2797.6913999991666
